10, 2, 1
15, 2, 1
20, 3, 2
30, 6, 5
40, 8, 10
50, 12, 12
60, 14, 15
70, 17, 26
80, 19, 25
90, 24, 30
100, 26, 35
150, 39, 74
200, 56, 129
250, 75, 199
300, 84, 284
350, 106, 402
400, 116, 499
450, 137, 629
500, 148, 775
600, 188, 1118
700, 218, 1506
800, 264, 1945
900, 287, 2155
1000, 303, 2142
1500, 500, 5498
2000, 818, 10216
2500, 1075, 16092
3000, 1417, 21886
3500, 1261, 19431
4000, 1041, 23067
4500, 1152, 29565
5000, 1359, 36299
5500, 1545, 44258
6000, 1668, 51950
6500, 1828, 61294
7000, 1917, 70502
7500, 2116, 81982
8000, 2207, 93153
8500, 2393, 105083
9000, 2703, 117571
10000, 2909, 144532
11000, 3344, 174171
12000, 3521, 208962
13000, 3889, 245291
14000, 4109, 283734
15000, 4477, 326323
16000, 4755, 371590
17000, 5488, 420206
18000, 5701, 470211
19000, 5944, 523285
20000, 6539, 580507
21000, 6794, 637805
22000, 6770, 703572
23000, 7095, 766845
24000, 7665, 834677
25000, 7964, 905361
